key,cnt
"  Central Naval Prep School """"Poros""""-1""",9
"  Hamburg-2""",1
"  Manchester""",11
"  Oxford-2""",1
"  Rugby""",1
" 45",3
" 56",1
" 65",1
" 68",1
" AFG",2
" ALB",3
" ALG",6
" Antwerpia V",1
" ANZ",11
" ARG",70
" ARM",13
" AUS",385
" Australia",1
" AUT",154
" AZE",15
" BAH",11
" Bahamas",1
" BDI",2
" BEL",98
" BER",1
" Bingo",1
" BLR",42
" BOH",3
" BRA",111
" BRN",3
" BUL",112
" Bulgaria",3
" CAN",463
" Canada",3
" CHI",11
" CHN",300
" Christian Brothers' College-1",1
" CMR",11
" COL",11
" CRO",46
" CUB",133
" Cuba",1
" CYP",1
" CZE",43
" Czechoslovakia",1
" DEN",252
" Denmark",1
" DOM",2
" East Germany",7
" EGY",11
" Encore",1
" ESP",128
" EST",17
" ETH",4
" EUN",114
" FIJ",4
" FIN",464
" FRA",491
" France",5
" FRG",180
" GAB",1
" GBR",631
" GDR",369
" GEO",13
" GER",709
" Germany",9
" GHA",7
" GRE",89
" Great Britain",9
" Great Britain-1",2
" GRN",2
" HAI",2
" HKG",4
" HUN",415
" Hungary",6
" INA",17
" IND",45
" IOA",2
" IRI",29
" IRL",11
" ISL",2
" ISR",1
" ISV",1
" ITA",315
" Italy",1
" JAM",53
" JPN",491
" Jupiter",1
" KAZ",18
" KEN",61
" KOR",404
" LAT",3
" LIE",1
" Llanoria",1
" LTU",14
" LUX",3
" MAR",3
" MAS",3
" MDA",2
" MEX",24
" MGL",10
" MNE",5
" MON",1
" MOZ",2
" MRI",1
" NA",12
" NED",227
" Netherlands",5
" New Zealand",1
" NGR",44
" NOR",381
" Norway",5
" NZL",61
" PAK",41
" PAN",2
" PAR",2
" PER",3
" POL",203
" Poland",2
" POR",11
" PRK",47
" PUR",2
" Romania",2
" ROU",153
" RSA",44
" RUS",366
" SCG",18
" SGP",2
" Sirene",2
" SLO",15
" Soviet Union",10
" SRB",22
" SRI",1
" SUD",1
" SUI",186
" SUR",2
" SVK",23
" SWE",598
" Sweden",1
" TAN",1
" TCH",204
" THA",7
" TJK",1
" TKM",1
" TPE",22
" TTO",4
" TUN",5
" TUR",23
" UGA",4
" UKR",69
" Unified Team-1",2
" United States",125
" United States-1",1
" United States-2",1
" URS",957
" URU",13
" USA",1721
" UZB",8
" VEN",2
" VIE",3
" West Germany",6
" Widgeon",2
" YUG",130
" ZAM",2
" ZIM",1
" Zimbabwe",1
