key,co
" USA",5619
" JPN",4506
" GBR",3767
" FRA",3431
" SWE",3398
" CAN",3253
" GER",3142
" FIN",2743
" KOR",2699
" HUN",2406
" POL",2335
" AUS",2334
" URS",2231
" ITA",2151
" TCH",1920
" NOR",1870
" SUI",1679
" CHN",1674
" AUT",1651
" DEN",1596
" RUS",1567
" NED",1485
" ESP",1360
" BUL",1122
" GRE",1115
" ROU",1104
" FRG",1090
" BRA",949
" GDR",947
" UKR",944
" YUG",930
" BEL",793
" ARG",751
" NZL",719
" CUB",705
" MEX",691
" CZE",668
" IRL",595
" RSA",588
" BLR",582
" PRK",509
" SVK",450
" EGY",435
" NGR",429
" TPE",426
" SLO",414
" KAZ",413
" KEN",386
" EST",384
" LUX",379
" EUN",379
" United States",371
" IND",371
" TUR",354
" POR",320
" LAT",305
" CRO",285
" HKG",283
" IRI",275
" CHI",264
" VEN",255
" COL",246
" JAM",229
" PUR",228
" THA",203
" MAR",202
" ISL",198
" ISR",193
" MAS",186
" PHI",172
" LTU",171
" ALG",169
" PAK",167
" TUN",166
" MGL",161
" UZB",155
" CMR",154
" UGA",151
" PER",136
" SGP",129
" URU",129
" LIE",126
" INA",121
" ZIM",118
" BAH",114
" SRB",113
" GHA",112
" ZAM",111
" SCG",111
" GUA",109
" LIB",103
" IRQ",102
" AZE",94
" TAN",93
" CIV",91
" CRC",90
" GEO",90
" ISV",88
" VIE",87
" ANG",86
" ARM",85
" KGZ",82
" SEN",79
" CYP",78
" TTO",73
" ECU",72
" BOH",72
" ESA",69
" COD",68
" ETH",67
" DOM",65
" CGO",60
" BAR",57
" SYR",55
" BER",54
" BOT",54
" IOA",53
" FIJ",52
" HON",52
" MDA",51
" BIH",50
" MYA",50
" QAT",49
" MRI",46
" NCA",46
" ANT",45
" MAW",45
" PAN",42
" LES",41
" MON",40
" Canada",39
" SUD",39
" BOL",39
" KUW",37
" BRN",37
" SRI",37
" SWZ",37
" SAA",36
" Norway",36
" PNG",36
" SEY",36
" RWA",36
" VNM",35
" GAB",35
" AFG",35
" SLE",34
" CAF",33
" AHO",32
" BDI",31
" BIZ",31
" GAM",31
" ANZ",30
" GUY",30
" MNE",30
" HAI",29
" NAM",29
" ALB",29
" MOZ",29
" Poland",29
" NA",27
" LBR",27
" SUR",27
" AND",25
" Great Britain",24
" CAY",24
" MKD",24
" PAR",24
" TJK",23
" CAM",23
" SMR",23
" TKM",22
" BUR",22
" NEP",22
" UAE",21
" UAR",21
" KSA",21
" MLT",21
" MLI",21
" Germany",20
" MAL",20
" NIG",20
" TGA",20
" VAN",20
" Soviet Union",20
" France",19
" GUM",19
" SAM",19
" ASA",18
" TOG",18
" IVB",17
" JOR",17
" BEN",17
" East Germany",17
" Hungary",17
" CHA",16
" West Germany",16
" MDV",16
" Romania",16
" GEQ",16
" BAN",15
" LAO",15
"  Manchester""",15
" SOM",15
" Sweden",14
" SOL",14
" Denmark",14
" COK",13
" Philippines",13
" VIN",13
" MTN",13
" ERI",13
" ARU",12
" GRN",12
" DMA",11
" FSM",11
" LCA",11
" DJI",10
" LBA",10
" BHU",9
"  Central Naval Prep School """"Poros""""-1""",9
" GUI",9
" MHL",8
" SKN",8
" Netherlands",8
" Argentina",8
" GBS",7
" 68",7
" Bulgaria",7
" Australia",7
" Austria",6
" PLW",6
" KIR",6
" YEM",6
" ROT",6
" CPV",6
" Italy",6
" United States-2",5
" United States-1",5
" Czechoslovakia",5
" PLE",4
" 45",4
" Luxembourg",4
"  Leitmeritz""",4
" Finland",4
" WIF",4
" TUV",4
" Sirene",4
" CRT",4
" New Zealand",4
" Mexico",4
" Bahamas",4
" COM",3
" Skidoo",3
" BRU",3
" Russia",3
"  Hamburg""",3
" Great Britain-1",3
" Latvia",3
" Peru",3
" Cuba",3
" 48",2
" SSD",2
" Belgium",2
" YMD",2
" Lebanon",2
"  Hamburg-2""",2
" Pam",2
" United States Virgin Islands",2
" Spirit VI",2
" YAR",2
" STP",2
" Encore",2
" TLS",2
" Slovakia",2
" Widgeon",2
" Unified Team-1",2
" Czech Republic",2
" Dolfijn",1
" Antwerpia V",1
" Great Britain-2",1
" Christian Brothers' College-1",1
" Angerburg",1
" Angelita",1
" Spirit III",1
" 65",1
" KOS",1
" 56",1
" UNK",1
" Jupiter",1
"  Oxford-2""",1
" Guam",1
" Llanoria",1
" 61",1
" Guatemala",1
"  Rugby""",1
" Zimbabwe",1
" Bingo",1
" RHO",1
" Frieda",1
" MAD",1
" Nigeria",1
" Tineke",1
